1girl,1个女孩
frilled,褶边
parted lips,嘴唇微张
detached sleeves,分离式袖子
one eye closed,一只眼睛闭着
outdoors,在户外
food,食物
japanese clothes,日本服饰
multiple boys,多个男孩
green hair,绿色头发
wings,翅膀
open clothes,敞开衣服
sky,天空
necktie,领带
horns,喇叭
penis,阴茎
shoes,鞋
fate (series),命运（系列）
glasses,眼镜
barefoot,赤脚
shorts,短裤
serafuku,水手服
pussy,小穴
teeth,牙齿
day,天
solo focus,聚焦单人
sleeveless,无袖的
choker,颈圈
alternate costume,修改服装
tongue,舌头
pointy ears,尖耳朵
socks,袜子
black gloves,黑色手套
elbow gloves,肘部手套
hairclip,发夹
fang,虎牙
striped,有条纹的
midriff,肚脐
puffy sleeves,蓬松的袖子
shiny,闪亮的
looking back,回头看
belt,腰带
sword,剑
collared shirt,有领衬衫
official art,官方艺术作品
pants,裤子
cloud,云
artist name,艺术家姓名
silver hair,银色头发
black thighhighs,黑色长筒袜
tears,眼泪
fate/grand order,命运/冠位指定
indoors,在室内
cat ears,猫耳朵
white gloves,白色手套
3girls,3个女孩
hair flower,头花
virtual youtuber,虚拟Youtuber
signature,签名
dark skin,黑皮
hand up,举起手
spread legs,张开双腿
cum,精液
2boys,2个男孩
hood,兜帽
idolmaster,偶像大师
sex,性交
miniskirt,迷你裙
wide sleeves,宽袖
tongue out,伸出舌头
fingerless gloves,无指手套
on back,在背面
blunt bangs,齐刘海
black skirt,黑色裙子
bowtie,领结
armpits,腋窝
pink eyes,粉色眼睛
sailor collar,水手领
kimono,和服
english commentary,英文解说
black legwear,黑色紧身裤
pokemon,宝可梦（口袋妖怪）
medium hair,中等长度头发
water,水
grey background,灰色背景
necklace,项链
chibi,Q版小人
off shoulder,露肩
bag,包
hair bun,发髻
clothes lift,拉起衣服
scarf,围巾
cape,披肩
from behind,从后面（看）
star (symbol),星星（符号）
twitter username,Twitter 用户名
bra,胸罩
yuri,百合
stomach,小腹
nail polish,指甲油
sweatdrop,汗珠
orange hair,橙色头发
armor,盔甲
white dress,白色礼服
holding weapon,拿着武器
black footwear,黑色鞋类
white panties,白色内裤
rabbit ears,兔耳朵
mole,痣
uniform,制服
hair over one eye,头发遮住一只眼睛
grin,咧嘴笑
:o,:o
huge breasts,巨大的胸部
character name,角色名字
black eyes,黑色眼睛
apron,围裙
blurry,模糊
looking at another,看着另一个
vest,背心
black dress,黑色裙子
high heels,高跟鞋
arm up,武装
twin braids,双辫子
vaginal,阴道
mosaic censoring,马赛克打码
red bow,红色领结
flat chest,平坦的胸部
arms up,举起武器
side ponytail,侧马尾辫
shiny hair,闪亮的头发
bracelet,手镯
covered nipples,遮住乳头
collar,衣领
feet,脚
dated,过时的
from side,从侧面（看）
aqua eyes,水色眼睛
vocaloid,V家（VOCALOID）
sweater,毛衣
white thighhighs,白色长筒袜
speech bubble,对话框
two-tone hair,两色头发
leotard,紧身衣
red ribbon,红色带子
two side up,两面朝上
english text,英文文本
dark-skinned female,皮肤黝黑的女性
sketch,草图
tree,树
open jacket,敞开夹克
cup,杯子
lips,嘴唇
blue sky,蓝色天空
puffy short sleeves,蓬松的短袖
zettai ryouiki,绝对领域
blue skirt,蓝色裙子
hololive,hololive
groin,腹股沟
fingernails,指甲
coat,外套
wet,弄湿
cat tail,猫尾巴
bad twitter id,错误的推特 ID
v-shaped eyebrows,V字眉
white legwear,白色紧身裤
head tilt,头部倾斜
neckerchief,围巾
black jacket,黑色夹克
streaked hair,有条纹的头发
official alternate costume,官方备用服装
genshin impact,原神
see-through,透视
orange eyes,橙色眼睛
azur lane,碧蓝航线
hand on hip,手放在臀部
gradient,坡度
gun,枪
shiny skin,有光泽的皮肤
crop top,露脐服装
idolmaster cinderella girls,偶像大师灰姑娘女孩
wrist cuffs,手腕袖口
pillow,枕头
book,书
animal ear fluff,动物耳朵绒毛
artist request,确认艺术家
plaid,格子
torn clothes,撕裂的衣服
maid,女仆
sleeves past wrists,手腕藏在袖子里面
looking to the side,看向一边
kneehighs,及膝
military,军队
grey eyes,灰色眼睛
sash,围腰
parted bangs,分开的刘海
pokemon (game),宝可梦（游戏）
maid headdress,女仆帽
legs,腿
petals,花瓣
cosplay,角色扮演
black panties,黑色内裤
black pantyhose,黑色连裤袜
fur trim,毛皮饰边
bare arms,裸露手臂
pubic hair,阴毛
hands up,举起双手
one-piece swimsuit,连体泳衣
gradient background,渐变背景
symbol-shaped pupils,符号形瞳孔
fox ears,狐狸耳朵
loli,萝莉
ascot,阿斯科特领结
short shorts,短裤
dutch angle,荷兰角
clothing cutout,剪裁服装
black shirt,黑色衬衫
eyelashes,睫毛
open shirt,敞开衬衫
bare legs,裸露双脚
no humans,没有人类
dress shirt,礼服衬衫
lowres,低分辨率
sparkle,火花
bar censor,条形打码
kneeling,跪着
window,窗户
mole under eye,眼睛下面有痣
pokemon (creature),宝可梦（生物）
4girls,4个女孩
single braid,单辫
hug,拥抱
bodysuit,紧身衣裤
v,V字手势
no bra,不戴胸罩/无胸罩
sleeveless shirt,无袖上衣
bell,钟
saliva,唾液
double bun,丸子头
strapless,无肩带的
aqua hair,水色头发
uncensored,无码
military uniform,军装
black ribbon,黑色丝带
black headwear,黑色头饰
bed,床
md5 mismatch,md5 不匹配
blood,血液
scan,扫描
hatsune miku,初音未来
4koma,四格
hoodie,连帽衫
sideboob,侧臂
pussy juice,爱液
profile,轮廓
completely nude,全裸
covered navel,肚脐
black bow,黑色蝴蝶结
makeup,化妆品
tattoo,纹身
skindentation,剥皮
leaning forward,身体前倾
neck ribbon,颈带
muscular,肌肉发达
no panties,没有内裤
thigh strap,大腿带
mask,面具
capelet,披肩
gradient hair,渐变头发
multiple views,多个视图
witch hat,女巫帽
copyright name,版权名称
:3,:3
anus,肛门
alternate hairstyle,修改发型
fruit,水果
underboob,低胸
arknights,明日方舟
detached collar,分离式衣领
depth of field,景深
headband,头巾
night,夜晚
sleeveless dress,无袖连衣裙
buttons,纽扣
hair blowing,吹头发
^_^,^_^
cameltoe,骆驼趾
copyright request,版权请求
side-tie bikini bottom,侧系带比基尼泳裤
blue dress,蓝色连衣裙
fox tail,狐狐狸尾巴
cum in pussy,精液（射）在小穴里
commission,委员会
bottomless,无底洞
toes,脚趾
black bikini,黑色比基尼
shadow,阴影
nose blush,鼻红
glowing,发光的
red skirt,红色裙子
blurry background,模糊背景
rose,玫瑰
feet out of frame,脚超出边界
hakurei reimu,博丽灵梦
headgear,帽子
holding hands,手牵手
bed sheet,床单
fake animal ears,假动物耳朵
swept bangs,扫刘海
chain,链
facial hair,胡子
6+girls,6个以上的女孩
siblings,兄弟姐妹
turtleneck,高领毛衣
bird,鸟
headphones,耳机
ocean,海洋
colored skin,有色皮肤
arm support,手臂支撑
umbrella,伞
heterochromia,异色症
low twintails,低双马尾
halter top,吊带衫
animal,动物
frown,皱眉
beret,贝雷帽
thigh boots,长筒靴
leaf,叶子
embarrassed,尴尬的
pov,观点
one side up,一侧朝上
back,背部
kirisame marisa,雾雨魔理沙
on bed,在床上
from above,从上面（看）
garter straps,吊袜带
watermark,水印
white headwear,白色头饰
ass visible through thighs,透过大腿可见屁股
fangs,fangs
blue background,蓝色背景
non-web source,非网络来源
transparent background,透明背景
highleg,高腿
white bikini,白色比基尼
on side,在一边
plaid skirt,格子裙
scar,瘢痕
mahou shoujo madoka magica,魔法少女小圆
traditional media,传统媒体
mouth hold,嘴唇含着（东西）
wariza,瓦里萨
parody,戏仿
beach,海滩
chair,椅子
wavy hair,卷发
blue bow,蓝色蝴蝶结
hair tubes,发管
facial mark,面部标记
bandages,绷带
looking away,看向别处
upper teeth,上牙
banned artist,被禁止的画师
female pubic hair,女性阴毛
blush stickers,腮红贴纸
drill hair,钻头发型
shirt lift,提起衬衫
expressionless,面无表情
chinese clothes,中国服装
black choker,黑色项链
obi,带
grabbing,抓取
brown footwear,棕色鞋类
arms behind back,手臂在背后
eating,在吃东西
pantyshot,连裤袜
no shoes,没有鞋子
clothes pull,拉下衣服
topless,裸照
holding sword,拿着剑
heart-shaped pupils,心形瞳孔
thigh gap,大腿间隙
thick thighs,粗壮的大腿
short dress,短裙
soles,鞋底
looking down,往下看
fire emblem,火焰纹章
skirt lift,提起裙子
phone,电话
magical girl,魔法少女
eyepatch,眼罩
stuffed toy,毛绒玩具
floral print,碎花
bound,边框
wavy mouth,波浪嘴
crossed arms,双臂交叉
flying sweatdrops,飞扬的汗珠
girls und panzer,少女与战车
symbol-only commentary,仅符号注释
love live!,爱与演唱会！
hair intakes,进气口发型（M形发型）
black shorts,黑色短裤
border,边界
playboy bunny,花花公子兔子
moon,月亮
formal,正式的
piercing,冲孔
abs,腹肌
cover,覆盖
leg up,抬腿
sandals,凉鞋
from below,从下面看（看）
half-closed eyes,半闭眼
cleavage cutout,乳沟切口
sunlight,阳光
erection,勃起
table,桌子
single hair bun,单发髻
black pants,黑色裤子
oral,口服
happy,快乐的
red dress,红色礼服
cat,猫
underwear only,只穿内衣
squatting,蹲着
scrunchie,发箍
pink background,粉色背景
school swimsuit,学校泳装
sunglasses,太阳镜
testicles,睾丸
bdsm,性虐待
cum on body,精液（射）在身体上
blazer,西装外套
mob cap,暴民帽
trembling,发抖
white footwear,白色鞋类
dark-skinned male,皮肤黝黑的男性
ring,戒指
sleeping,睡眠
game cg,游戏cg
coyote ears,土狼耳朵
backpack,背包
standing on one leg,单腿站立
lingerie,女式内衣
knee boots,及膝靴
eyes visible through hair,透过头发可见的眼睛
hat ribbon,帽子丝带
final fantasy,最终幻想
halo,光环
partial commentary,部分评论
light brown hair,浅棕色头发
breast grab,抓住胸部
katana,武士刀
stuffed animal,填充动物玩具
thick eyebrows,浓浓的眉毛
bob cut,妹妹头
girls' frontline,少女前线
bat wings,蝙蝠翅膀
cardigan,开襟衫
;d,;d
demon girl,恶魔少女
korean commentary,韩国评论
crossed legs,双腿交叉
frilled dress,褶边连衣裙
suspenders,吊带
chinese commentary,中文评论
white skirt,白色裙子
remilia scarlet,雷米利亚猩红
3boys,3个男孩
helmet,头盔
white jacket,白色夹克
antenna hair,天线头发
hood down,放下兜帽
cloudy sky,多云的天空
outstretched arms,伸出双臂
cellphone,手机
polka dot,波尔卡圆点
cross,叉
crying,哭
tank top,背心
bottle,瓶子
bug,虫
5girls,5个女孩
undressing,脱衣服
grass,草
crossover,交叉
fire,火
bent over,弯腰
crown,王冠
feathers,羽毛
suit,西装
tiara,头饰
light smile,浅笑
frilled skirt,褶边半身裙
breasts out,露出胸部
high ponytail,高马尾辫
knife,刀
pectorals,胸肌
couple,夫妻
eyebrows,眉毛
looking up,抬头看
denim,牛仔布
holding food,拿着食物
own hands together,双手合一
animated,动画
>_<,>_<
straddling,跨越
hair bobbles,毛茸茸的
x hair ornament,X 发饰
wing collar,翼领
white bow,白色蝴蝶结
on stomach,在肚子上
areolae,乳晕
plant,植物
black hairband,黑色发带
flandre scarlet,弗兰德·猩红色
blue shirt,蓝色衬衫
tan,棕褐色
lipstick,口红
outstretched arm,伸出手臂
bondage,捆绑
izayoi sakuya,十六夜咲夜
short twintails,短双马尾
fellatio,口交
horse ears,马耳朵
robot,机器人
precure,预固化
blue ribbon,蓝色丝带
girl on top,上面的女孩
curtains,窗帘
white flower,白色的花
lifted by self,自己举起
pointing,指点
animal print,动物印花
monster girl,怪物女孩
polearm,长柄武器
muscular male,肌肉男
revision,修订
^^^,^^^
pink bow,粉色蝴蝶结
slit pupils,狭缝瞳孔
juliet sleeves,朱丽叶袖子
all fours,四肢着地
sisters,姐妹
sex from behind,从背后做爱
cat girl,猫女
crescent,新月
spiked hair,刺猬头
umamusume,赛马娘
granblue fantasy,碧蓝幻想
staff,职员
hand on own chest,手放在自己的胸口
blue sailor collar,蓝色水手领
panty pull,拉下内裤
cherry blossoms,樱花盛开
frilled sleeves,褶边袖子
blouse,女式衬衫
sharp teeth,锋利的牙齿
red necktie,红色领带
?,?
jojo no kimyou na bouken,JoJo的奇妙冒险
cover page,封面
blue jacket,蓝色夹克
white kneehighs,白色的膝盖
towel,毛巾
clenched teeth,咬紧牙齿
shaded face,阴影面
wind,风
goggles,风镜
casual,随意的
bike shorts,自行车短裤
otoko no ko,伪娘
ground vehicle,地面车辆
black background,黑色背景
brooch,胸针
head wings,头翼
green skirt,绿色裙子
loafers,乐福鞋（便鞋）
gauntlets,护手
elf,精灵
pink panties,粉色内裤
no pants,没有裤子
fate/stay night,命运之夜
t-shirt,T恤
red flower,红色的花
black bra,黑色胸罩
striped panties,条纹内裤
multiple tails,多尾
building,建筑学
wristband,腕带
shoulder armor,肩甲
kiss,吻
demon horns,恶魔角
fox girl,狐狸女孩
between breasts,胸部之间
breast press,按着胸部
startled,吓了一跳
single thighhigh,单大腿高
messy hair,凌乱的头发
motion lines,运动线
hat bow,帽子蝴蝶结
sheath,鞘
butterfly,蝴蝶
child,孩子
kemono friends,兽娘动物园（动物朋友）
skirt set,裙子套装
ribbon trim,丝带饰边
black kneehighs,黑色过膝袜
group sex,群交
third eye,第三只眼睛
character request,字符请求
instrument,乐器
rabbit tail,兔尾
letterboxed,信箱
drooling,流口水
clenched hand,握紧一只手
hakama,袴
box,盒子
sneakers,运动鞋
pale skin,苍白的肤色
sex toy,性玩具
red shirt,红色衬衫
musical note,音符
red footwear,红色的鞋
admiral (kancolle),海军上将（坎科尔）
gem,宝石
fishnets,渔网袜
horse girl,马娘
tassel,流苏
wet clothes,湿衣服
side-tie panties,侧系内裤
red bowtie,红色领结
genderswap,性别互换
revealing clothes,暴露的衣服
covering,覆盖
facial,面部的
foreshortening,预先性
candy,糖果
idolmaster (classic),偶像大师（经典）
nature,自然
adapted costume,适应的的服装
anal,肛门
ear piercing,穿耳洞
pink dress,粉色裙子
steam,蒸汽
star (sky),星星（天空）
dog ears,狗耳朵
peaked cap,尖顶帽
demon tail,恶魔尾巴
portrait,肖像
armband,臂章
duplicate,复制
scenery,风景
convenient censoring,自带打码
waist apron,腰围裙
holding gun,拿着枪
artoria pendragon (fate),artoria pendragon (命运)
breath,呼吸
lace trim,蕾丝饰边
night sky,夜空
ejaculation,射精
china dress,旗袍
alice margatroid,爱丽丝·玛格丽德
tokin hat,东金帽子
kochiya sanae,东风谷早苗
arms behind head,手臂在脑后
love live! school idol project,爱生活！校园偶像项目
gundam,高达
patchouli knowledge,广香知识
lace,蕾丝
couch,长椅
interlocked fingers,十指相扣
veil,面纱
black nails,黑色指甲
rope,绳索
front-tie top,前领带上衣
bara,巴拉
microphone,麦克风
bandaid,创可贴
male pubic hair,男性阴毛
hakama skirt,袴裙
bow panties,蝴蝶结内裤
hand fan,手扇
blue archive,碧蓝档案
white apron,白色围裙
mole under mouth,嘴下有痣
bridal gauntlets,新娘手套
strapless dress,露肩礼服
nijisanji,彩虹社
no hat,没有帽子
yaoi,yaoi
mecha,机甲
glowing eyes,发光的眼睛
anger vein,愤怒的静脉
holding cup,拿着杯子
konpaku youmu,魂魄妖梦
clothes writing,带字服装
...,...
bikini top only,仅比基尼上衣
white ribbon,白色丝带
black leotard,黑色紧身衣
jingle bell,叮铃铃
cirno,奇诺
breasts apart,乳房分开
baseball cap,棒球帽
hair flaps,毛瓣
string bikini,细绳比基尼
hair over shoulder,头发过肩
cum on breasts,精液（射）在乳房上
torn legwear,撕裂的裤袜
twin drills,双钻
straight hair,直发
skin tight,皮肤紧绷
:<,:<
yellow background,黄色背景
web address,网址
semi-rimless eyewear,半框眼镜
angry,生气的
hooded jacket,连帽夹克
feathered wings,羽翼
light purple hair,淡紫色头发
check translation,检查翻译
yakumo yukari,八云紫
motor vehicle,机动车
christmas,圣诞节
facing viewer,面对观众
cloak,披风
coyote tail,土狼尾巴
carrying,携带
side braid,侧辫
corset,紧身胸衣
eyewear on head,头戴眼镜
claws,爪子
micro bikini,微型比基尼
light particles,光粒子
red nails,红色指甲
mary janes,玛丽简斯
multiple penises,多个阴茎
pelvic curtain,骨盆帘
knees up,屈膝
red background,红色背景
bad link,坏链接
tareme,去皮
red headwear,红色头饰
tentacles,触手
rifle,步枪
index finger raised,食指抬起
purple dress,紫色连衣裙
:p,:p
danganronpa (series),弹丸论巴（系列）
smartphone,手机
beard,胡须
clothing aside,扒开衣服
vertical stripes,竖条纹
single horn,单喇叭
bright pupils,水灵的瞳孔
paizuri,派祖里
multicolored clothes,五彩的衣服
grey shirt,灰色衬衫
strap slip,皮带滑动
red neckerchief,红色领巾
finger to mouth,手抵着嘴
licking,舔
close-up,特写
puffy nipples,浮肿的乳头
short hair with long locks,长发短发
striped thighhighs,条纹长筒袜
extra ears,额外的耳朵
snow,雪
tsurime,鹤舞
androgynous,雌雄同体的
buckle,扣子
black necktie,黑色领带
scar on face,脸上的疤痕
french braid,法国辫子
striped legwear,条纹裤
red jacket,红色夹克
white border,白色边框
full moon,满月
neck bell,颈铃
upskirt,超短裙
eye contact,眼神交流
face,脸
komeiji koishi,古明地恋
two-tone background,两色背景
forehead,前额
pom pom (clothes),绒球（衣服）
seiza,精神分裂症
areola slip,隐约可见的乳晕
yellow bow,黄色蝴蝶结
blue bikini,蓝色比基尼
spoilers,剧透
genderswap (mtf),性别互换（MTF）
lens flare,镜头光晕
pink flower,粉色的花
furry,毛茸茸的
gift,礼物
armlet,臂章
shameimaru aya,羞丸绫
pink nails,粉色指甲
between legs,双腿之间
spikes,钉
pendant,吊坠
abyssal ship,深海船
wading,涉水
hand on own face,手放在自己的脸上
side slit,侧开衩
1other,有另外一个人
dual persona,双重人格
handgun,手枪
desk,桌子
camisole,吊带背心
hololive english,hololive english
masturbation,手淫
alcohol,酒精
brown gloves,棕色手套
plate,盘子
restrained,克制的
k-on!,开！
green bow,绿色蝴蝶结
ribbed sweater,罗纹毛衣
cross-laced footwear,交叉系带鞋
after sex,性爱后
broom,扫帚
handjob,打手枪
faceless,不露面
sleeves rolled up,袖子卷起
o-ring,O形圈
skin fang,皮牙
curvy,弯曲的
santa hat,圣诞老人帽子
spoken heart,说话的心
heavy breathing,沉重的呼吸
ball,球
hair scrunchie,发圈
maid apron,女仆围裙
breast hold,托着胸部
drinking glass,玻璃杯
eyeshadow,眼影
fujiwara no mokou,藤原妹红
horse tail,马尾
grey skirt,灰色裙子
personification,拟人化
persona,角色
headwear removed,头饰被移除
low ponytail,低马尾辫
reisen udongein inaba,铃仙·优昙华院·因幡
doujin cover,同人封面
cowgirl position,女牛仔位置
machinery,机械
forest,森林
dress lift,拉起连衣裙
red gloves,红色手套
clenched hands,握紧两只手
tray,托盘
headset,耳机
partially submerged,部分淹没
tanlines,驼色系
cropped legs,没画腿
jpeg artifacts,jpeg 工件
zipper,拉链
high heel boots,高跟鞋
floating,漂浮的
smoke,抽烟
legs up,双腿向上
backlighting,逆光
wide hips,宽臀
pencil skirt,铅笔裙
fish,鱼
low-tied long hair,低扎长发
blue headwear,蓝色头饰
single glove,单手套
sweater vest,毛衣背心
lyrical nanoha,抒情的纳米叶
hong meiling,红梅
large pectorals,大胸肌
hair rings,发环
pink skirt,粉色裙子
half updo,半髻
neon genesis evangelion,新世纪福音战士
reflection,反射
flying,飞行
highleg leotard,高腿紧身衣
hood up,戴上兜帽
spot color,斑点颜色
panties under pantyhose,连裤袜下的内裤
nontraditional miko,非传统巫女
kemonomimi mode,kemonomimi mode
sailor dress,水手服
arm behind back,手臂在背后
freckles,雀斑
starry sky,星空
clothed sex,穿着性爱
white bra,白色胸罩
akemi homura,明美小村
asymmetrical legwear,不对称紧身裤
holding book,拿着书
happy birthday,生日快乐
arm at side,手臂在侧面
tearing up,撕毁
sleeves past fingers,手指藏在袖子里面
brown background,棕色背景
colored sclera,彩色巩膜
red bikini,红色比基尼
long fingernails,长指甲
!,！
santa costume,圣诞老人服装
garter belt,吊袜腰带
strapless leotard,无肩带紧身衣
6+boys,6个以上男孩
dual wielding,双持
cuffs,袖口
hands,手
red-framed eyewear,红框眼镜
rain,雨
komeiji satori,古明地觉
blue nails,蓝色指甲
fingering,指法
bubble,气泡
puffy long sleeves,蓬松的长袖
epaulettes,肩章
innertube,内管
walking,步行
crossdressing,变装
suzumiya haruhi no yuuutsu,凉宫春日的悠悠
frilled bikini,褶边比基尼
ribbon-trimmed sleeves,饰带袖子
fate/extra,命运/额外
teacup,茶碗
halloween,万圣节
naughty face,顽皮的脸
idolmaster shiny colors,偶像大师闪耀色彩
out of frame,在边界外面
contrapposto,对立
cropped jacket,短款夹克
pixel-perfect duplicate,像素完美的复制品
legs apart,双腿分开
kaname madoka,小圆
dragon horns,龙角
thong,丁字裤
cake,蛋糕
clothed female nude male,穿衣服的女性裸体男性
arm behind head,手臂在脑后
oni horns,鬼角
world witches series,世界女巫系列
condom,避孕套
pink ribbon,粉色丝带
saigyouji yuyuko,西行寺悠悠子
short ponytail,短马尾辫
bowl,碗
curly hair,卷发
veins,静脉
denim shorts,牛仔短裤
hat ornament,帽子饰品
rape,强奸
demon wings,恶魔之翼
black wings,黑色翅膀
beads,珠子
pokemon swsh,宝可梦 剑／盾
green background,绿色背景
white pantyhose,白色连裤袜
black-framed eyewear,黑框眼镜
purple background,紫色背景
one-hour drawing challenge,一小时绘画挑战
resolution mismatch,分辨率不匹配
spread pussy,撑开小穴
knee up,膝盖向上
cumdrip,精液滴落
school bag,书包
:q,:q
lolita fashion,洛丽塔时尚
fur collar,毛领
sun hat,太阳帽
holding phone,拿着电话
doggystyle,狗的风格
pauldrons,肩铠
blue shorts,蓝色短裤
empty eyes,空洞的眼睛
gym uniform,运动服
black sailor collar,黑色水手领
spoken ellipsis,口语省略号
under-rim eyewear,下框眼镜
4boys,4个男孩
long legs,长腿
third-party edit,第三方编辑
shiny clothes,闪亮的衣服
toned,色调
pocket,口袋
cum in mouth,精液（射）在嘴巴里
goggles on head,头戴护目镜
bulge,凸
pink shirt,粉色衬衫
jitome,眼睛半睁
outside border,超出边界
new year,新年
hand on another's head,手放在别人的头上
topless male,男性裸照
skull,颅骨
blue flower,蓝色的花
crying with eyes open,睁着眼睛哭
purple skirt,紫色裙子
monster,怪物
kaga (kancolle),加贺 (kancolle)
hand in own hair,手挽自己的头发
sunset,日落
science fiction,科幻小说
inubashiri momiji,犬走红叶
green dress,绿色连衣裙
spear,矛
outline,大纲
shield,盾
futanari,扶他百合
toenails,脚趾甲
thighband pantyhose,绑腿连裤袜
hands on hips,双手叉腰
#ERROR!,#ERROR!
alternate breast size,修改胸部大小
older,年长的
emphasis lines,强调线
v arms,v 武器
meme,模因
buruma,运动服
skeb commission,skeb委员会
female masturbation,女性手淫
light blush,浅腮红
frilled shirt collar,褶边衬衫领
frilled apron,褶边围裙
asymmetrical hair,不对称的头发
o o,哦
tied hair,绑头发
#ERROR!,#ERROR!
running,跑步
breast squeeze,乳房挤压
dog,狗
high-waist skirt,高腰半身裙
striped bikini,条纹比基尼
competition swimsuit,比赛泳装
long skirt,长裙
animal hands,动物的手
white sleeves,白色袖子
ice,冰
princess connect!,公主连结！
minigirl,迷你女孩
teddy bear,泰迪熊
angel wings,天使的翅膀
legs together,双腿并拢
watch,手表
track jacket,运动夹克
black serafuku,黑色水手服
head rest,头枕
dog tail,狗尾巴
ass grab,很严重
folded ponytail,折叠马尾辫
turret,炮塔
hat removed,摘掉帽子
bespectacled,戴眼镜的
toaru majutsu no index,toaru majutsu 没有索引
mole on breast,乳房上有痣
blue theme,蓝色主题
tress ribbon,头发缎带
impossible clothes,不可能的衣服
blue footwear,蓝色鞋类
popsicle,棒冰
paw pose,爪子姿势
gold trim,金色饰边
white skin,白色皮肤
faceless male,不露面的男性
ghost,鬼
pouch,小袋
red scarf,红色领巾
rabbit,兔子
shawl,披肩
poke ball,戳球
purple bow,紫色蝴蝶结
single earring,单耳环
white pupils,白色瞳孔
sarashi,萨拉希
plump,丰满
source request,源请求
brown skirt,棕色裙子
knees together feet apart,双膝并拢双脚分开
yukata,浴衣
hand in pocket,把手放在口袋里
cigarette,香烟
bow (weapon),弓（武器）
white sailor collar,白色水手领
hand between legs,手放在双腿之间
twins,双胞胎
hair down,头发垂下来
sheathed,护套
age difference,年龄差
drinking straw,吸管
dragon girl,龙女
page number,页码
league of legends,英雄联盟
upside-down,上下翻转
open coat,敞开外套
oni,鬼
black belt,黑带
serious,严肃的
high collar,高领
jeans,牛仔裤
smirk,傻笑
brown pantyhose,棕色连裤袜
yakumo ran,八云蓝
military hat,军帽
light rays,光线
object insertion,插入对象
fate/apocrypha,命运/伪经
;),;)
injury,受伤
thought bubble,思想泡沫
brown jacket,棕色夹克
mini hat,迷你帽子
blue panties,蓝色内裤
dakimakura (medium),dakimakura（中）
black coat,黑色外套
robe,长袍
pose,摆姿势
tabard,战袍
street fighter,街头霸王
sideburns,鬓角
lollipop,棒棒糖
yellow ribbon,黄色丝带
black vest,黑色背心
striped shirt,条纹衬衫
hoop earrings,圈形耳环
butt crack,屁股裂开
yellow shirt,黄色衬衫
pajamas,睡衣
patreon username,Patreon用户名
bouncing breasts,弹跳的乳房
boku no hero academia,我的英雄学院
|_|,|_|
crystal,水晶
circlet,圆环
lantern,灯笼
striped bow,条纹蝴蝶结
red rose,红色玫瑰
contemporary,当代的
missionary,传教士
wide-eyed,睁大眼睛
kagamine rin,镜音铃
water drop,水滴
chocolate,巧克力
ofuda,护符
@_@,@_@
top hat,大礼帽
:t,:t
braided ponytail,编织马尾辫
jumping,跳跃
breastplate,胸甲
rock,岩石
oekaki,大垣
moriya suwako,守矢诹访子
hug from behind,从背后拥抱
threesome,三人组
hairpin,簪
konpaku youmu (ghost),konpaku youmu（鬼）
outstretched hand,伸出的手
white shorts,白色短裤
blurry foreground,模糊前景
handbag,手提包
partially fingerless gloves,部分无指手套
chopsticks,筷子
object hug,拥抱对象
